;2019;;;2020;;;2021;;;2022;;;2023;;;2024;;
;Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone)
Miren - Kostanjevica;2688,54;1938,30;85,78;2472,97;2160,01;49,75;2535,68;2325,15;4,74;2503,36;2200,30;2,79;2600,47;2279,06;0,30;2510,37;2244,07;18,73
Mirna;1085,41;690,09;3,46;1074,61;716,13;45,07;1215,23;711,18;45,00;1696,61;704,14;71,45;1209,53;741,12;51,52;1338,72;771,14;50,87
Mirna Peč;1223,07;772,71;22,91;902,81;731,54;27,98;1020,06;896,91;48,41;949,15;776,70;54,11;1605,67;889,83;63,00;1040,84;903,90;70,24
Mislinja;1995,19;1307,52;177,10;1479,70;1201,57;144,20;1393,55;1236,46;170,68;1709,62;1367,01;151,76;2065,27;1381,35;231,28;1753,50;1506,89;217,55
Mokronog - Trebelno;1309,10;844,72;5,04;1066,25;858,46;55,23;1005,52;854,09;55,00;981,00;841,56;87,56;1035,93;883,75;63,13;1085,18;923,66;52,34
Moravče;2745,52;1926,08;77,34;2304,10;1966,49;90,68;1722,57;1481,65;74,12;1987,77;1673,15;65,68;2359,14;1336,85;150,27;2195,28;1792,27;136,54
Moravske Toplice;3283,68;2401,21;350,69;2306,04;1968,06;258,53;2397,68;2128,87;276,93;2518,59;2172,08;163,59;2606,65;2247,67;142,09;2788,69;2356,89;135,02
Mozirje;1846,01;1222,87;151,80;1583,24;1333,44;147,12;1490,04;1329,38;156,63;1566,32;1324,87;139,16;4573,91;4200,03;149,13;1689,34;1502,24;122,84
Murska Sobota;14091,62;11265,84;1655,47;13219,31;11134,58;2575,71;16168,12;10589,56;1927,89;13384,92;10961,70;2316,69;13038,40;10331,80;1182,73;13034,72;10175,83;704,32
Muta;1323,56;809,87;138,40;1088,68;779,28;114,58;1122,72;805,35;129,04;1190,71;792,71;110,28;1168,00;809,90;161,36;1378,84;836,15;150,45
Naklo;2463,57;1649,10;47,87;2664,27;1564,45;44,56;3439,32;1511,73;39,97;3065,91;1516,33;40,72;3195,37;1672,59;103,13;3182,49;1695,42;114,39
Nazarje;947,18;553,96;56,42;937,52;661,06;53,45;962,17;689,28;52,18;2270,32;1988,55;42,21;8559,22;7301,65;46,74;2488,95;886,08;41,89
Nova Gorica;18622,28;13807,81;4787,87;16159,20;13866,43;3527,74;17902,26;14171,13;955,90;16086,04;14059,39;2126,42;16950,29;14917,36;2461,73;17331,57;15199,11;1783,89
Novo mesto;18004,63;12383,83;1282,37;31402,82;11836,68;869,33;28580,32;12834,58;717,82;21819,60;11875,55;1502,29;22469,43;12654,02;1231,84;22650,13;12941,93;1356,49
Odranci;750,00;502,13;75,55;1882,44;495,91;65,64;1417,60;475,63;60,08;1076,33;472,25;38,86;1133,80;482,73;30,80;1338,93;489,33;24,13
